udise_code,school_name
27200201703,"Mah.Phule Mad Vid, Dugaon"
27200201318,Maharani Usharaje Holkar Madhymik Vidyalay Chandwad
27200201706,Mahatma Phule English Medium School Dugaon
27200210613,Mvp Sunrise School Vadner Bhairav
27200201319,N B Jadhav Madhyamik Vidyalaya Chandwad
27200200202,New English School Adgaon
27200202706,New English School And Junior College Dhondgavan
27200202704,New English School Dhondgavan
27200200403,Nutan Madyamik Vid Bahaduri
27200200902,Nutan Madyamik Vid Bhatgaon
27200201322,Odysseus International School Chandwad
27200204702,Punyashlok Ahilyadevi Mad Vid Kanadgaon
27200209705,Sant Dnyaneshwar Madhymik & Uchhmadhymik Vidyalay Talegaon Rohi
27200210803,Sant Dyaeshwar Mad Vid Vahega
27200203202,Santjanardan Swami Vid Gangave
27200204802,Secondary Vidyalaya Kanmandale
27200210310,Shivneri English Medium School Vadalibhoi
27200201102,Shri Kacharnath Swami Madhymik Vidyalay Bhoyegaon
27200206803,Shri Sarvadnya English Medium School Nimon
27200206002,Shrikri. Vid. Mesankhede K
27200207403,Shrikrushna Sec Vid Patharshembe
27200201320,Shrima P.D. Surana Arts Commerce & Science College Chandwad
27200208203,Shriram Mad.Vid. Raipur
27200205505,Shubh Saraswati English Medium Sch Khadakjam
27200201313,Snjbs Late Shri Dhanrajji Mishrilalji Bhansali English Medium School Neminagar Chandwad
27200201321,Snjbs Late Shri Dhanrajji Mishrilalji Bhansali English Medium School Neminagar Chandwad
27200208502,Sr Ajitdada Pawar Madv Sogras
27200201309,Sr Neminath Jain Pri Sch Chand
27200201315,Sr.Neminath Jain Vid Chandwad
27200209902,Sr.Sant Dyaneshwar Vid Urdhule
27200201602,Swami Vivekanand Vidyalaya Dighwad
27200201103,Uujawal English Medium School Bhoyegaon
27200202302,Vikas Madyamik Vidyalaya Daregaon
27200201401,Z. P. Primari School Chinchole
27200200802,Z. P. Primary School Bharveer
27200201201,Z. P. Primary School Bhutane
27200201301,Z. P. Primary School Chandwad Boys
27200203101,Z. P. Primary School Ganur
27200206101,Z. P. Primary School Mangrul
27200209601,Z. P. Primary School Talwade
27200210304,Z.P. Girls Sch. Vadali Bhoi
27200206103,Z.P. Prat. Sch. Shelkewasti
27200201314,Z.P. Primary School Chandwad Urdu
27200202401,Z.P.High Pri School Dudhakhede
27200208503,Z.P.Pir School Pabhal Vasti
27200208501,Z.P.Pir School Sogras
27200209702,Z.P.Pri Sch Bajarang Nagar
27200210604,Z.P.Pri Sch Kalubabanagar
27200201308,Z.P.Pri Sch Komadwadi
27200209501,Z.P.Pri Sch Matewadi
